,US 1,US 2,US 3,US 4,US 5
202,0.030944085,0.054641328,0.065947743,0.093952317,0.03870989
203,0.031976628,0.048670903,0.063820893,0.093208014,0.039121809
204,0.031796073,0.047318053,0.060616494,0.093058898,0.041785735
205,0.030154781,0.048878302,0.065477597,0.092670588,0.044947916
206,0.030471376,0.059482334,0.065985835,0.090700453,0.039911308
207,0.028995585,0.062117314,0.066292487,0.091144055,0.039968006
208,0.029446346,0.062355827,0.068676733,0.094588531,0.03671688
209,0.02976232,0.059690681,0.068934798,0.097444013,0.037633811
210,0.028593731,0.062946932,0.069831109,0.095835479,0.037138681
211,0.029774235,0.068066994,0.075092755,0.099424089,0.035565913
212,0.028933516,0.065570598,0.0693997,0.097578832,0.036653957
213,0.028810016,0.061659147,0.073438686,0.098148558,0.036445392
214,0.029564215,0.058182278,0.068414079,0.09827904,0.037604168
215,0.028848252,0.064878616,0.070429966,0.096464849,0.03496156
216,0.028631967,0.068454465,0.071016343,0.098476617,0.034558486
217,0.028299698,0.066521821,0.075732325,0.0976509,0.0385471
218,0.027455857,0.066395496,0.0745241,0.103540808,0.034088315
219,0.027667754,0.070770788,0.075470982,0.10276294,0.034339528
220,0.027765555,0.067671022,0.075511697,0.103652639,0.035249691
221,0.027913512,0.070537928,0.074179371,0.103007111,0.034331723
222,0.029128495,0.068116011,0.082157524,0.101791855,0.035213805
223,0.028025103,0.063320258,0.073499747,0.102528707,0.036372063
224,0.028739178,0.063866116,0.073960047,0.096576065,0.035382842
225,0.028690271,0.066123987,0.071554127,0.096879876,0.036366342
226,0.027403188,0.06451944,0.071789205,0.096167873,0.036103174
227,0.027343633,0.067467412,0.076189336,0.09653257,0.035976267
228,0.027307899,0.068633577,0.069192852,0.095787632,0.036731442
229,0.027146145,0.067423092,0.0785992,0.098590306,0.03556279
230,0.027312913,0.066685875,0.07174324,0.100931355,0.034714513
231,0.026776267,0.065533828,0.076681824,0.097748447,0.035916452
232,0.027940471,0.065689387,0.075019202,0.100447367,0.035562788
233,0.027201326,0.063569142,0.069660378,0.097591883,0.038876843
234,0.026302938,0.068254595,0.078481662,0.098439951,0.033423632
235,0.027667127,0.069577268,0.076783596,0.096999167,0.037148045
236,0.03000432,0.060162048,0.078834935,0.102322438,0.032399559
237,0.027899088,0.053374265,0.06617691,0.094220726,0.036654467
238,0.026162506,0.062693329,0.072512165,0.09418158,0.03517792
